row_id,positive,sample_n
1436,48,48
1437,48,48
1438,48,48
1439,46,48
1440,50,51
1441,50,51
1442,49,50
1443,49,52
1444,53,54
1445,50,51
1446,174,176
1447,123,132
1448,105,110
1449,120,120
1450,147,148
1451,138,139
1452,143,144
1453,132,134
1454,120,136
1455,125,131
1456,127,130
1457,1,21
1458,114,120
1459,130,144
1460,83,85
1461,66,67
1462,47,49
1463,66,67
1464,57,58
1465,42,51
1466,51,53
1467,41,43
1468,111,111
1469,94,101
1470,123,130
1471,99,100
1472,79,81
1473,102,103
1474,99,100
1475,82,84
1476,61,62
1477,87,89
1478,96,102
1479,116,122
1480,104,104
1481,123,124
1482,113,115
1483,126,127
1484,105,106
1485,99,100
1486,84,86
1487,94,97
1488,55,55
1489,48,48
1490,57,57
1491,51,52
1492,51,52
1493,45,47
1494,50,51
1495,45,47
1496,52,53
1497,37,39
1498,122,123
1499,103,104
1500,92,94
1501,92,94
1502,111,117
1503,105,110
1504,98,100
1505,99,100
1506,97,99
1507,93,95
1508,118,119
1509,118,119
1510,107,108
1511,106,107
1512,56,58
1513,59,60
1514,80,81
1515,77,79
1516,97,99
1517,77,79
1518,119,120
1519,104,105
1520,104,109
1521,120,122
1522,52,56
1523,63,66
1524,59,62
1525,58,59
1526,53,54
1527,28,30
1528,45,47
1529,27,57
1530,55,56
1531,40,45
1532,91,102
1533,117,127
1534,105,119
1535,109,112
1536,117,119
1537,124,125
1538,124,127
1539,47,82
1540,104,105
1541,99,100
1542,57,60
1543,58,71
1544,86,87
1545,85,87
1546,84,87
1547,66,82
1548,75,77
1549,55,74
1550,61,69
1551,56,67
1552,52,86
1553,93,100
1554,100,101
1555,101,102
1556,85,88
1557,80,96
1558,97,104
1559,100,102
1560,84,92
1561,90,96
1562,73,91
1563,64,84
1564,84,84
1565,81,83
1566,90,92
1567,91,93
1568,117,119
1569,82,84
1570,67,81
1571,86,100
1572,92,92
1573,69,70
1574,65,66
1575,66,70
1576,71,72
1577,46,49
1578,47,50
1579,21,66
1580,71,74
1581,64,69
1582,69,70
1583,72,73
1584,80,82
1585,75,77
1586,74,76
1587,69,71
1588,63,64
1589,82,84
1590,43,61
1591,36,67
1592,56,58
1593,60,61
1594,67,72
1595,67,79
1596,73,75
1597,37,45
1598,60,73
1599,70,84
1600,87,88
1601,107,109
1602,92,94
1603,109,110
1604,68,69
1605,80,84
1606,61,62
1607,55,56
1608,80,82
1609,50,52
1610,66,73
1611,57,64
1612,74,75
1613,68,75
1614,73,74
1615,72,73
1616,70,71
1617,71,72
1618,72,73
1619,107,108
1620,82,83
1621,101,102
1622,101,102
1623,91,93
1624,96,98
1625,94,96
1626,82,84
1627,93,95
1628,88,90
1629,31,44
1630,50,73
1631,90,97
1632,88,92
1633,72,75
1634,95,97
1635,90,92
1636,72,98
1637,83,85
1638,97,99
1639,13,19
1640,15,21
1641,13,15
1642,28,30
1643,27,28
1644,42,47
1645,43,47
1646,56,56
1647,88,91
1648,95,96
1649,101,102
1650,74,76
1651,60,61
1652,59,60
