school_id,year,school_name,county_name,enrollment,current,med_exempt,rel_exempt,school_type,school_level,excluded_note,addr_clean,city,zip,state,business_status,lat,lon
22888,2022,isabelle jackson elementary,sacramento,93,91,0,0,public,NA,NA,8351 cutler way,Sacramento,95828,ca,operational,38.462933,-121.396683
34806,2022,oakbrook academy of the arts,solano,72,71,0,0,public,NA,NA,700 oakbrook dr,Fairfield,94534,ca,operational,38.194153,-122.147041
8390,2022,columbia elementary,los angeles,110,109,0,0,public,NA,NA,3400 n california,El Monte,91731,ca,operational,34.071499,-118.033501
37130,2022,campus canyon elementary,ventura,88,86,0,0,public,NA,NA,15300 monroe ave,Moorpark,93021,ca,operational,34.300137,-118.844025
37475,2022,mountain meadows elementary,ventura,95,93,0,0,public,NA,NA,4200 mountain meadow dr,Moorpark,93021,ca,operational,34.268078,-118.892082
1073,2013,manzanita seed,alameda,86,52,0,0,public,NA,NA,2641 25th ave,Oakland,94601,ca,operational,37.791496,-122.224754
24747,2022,lime street elementary,san bernardino,151,148,0,0,public,NA,NA,16852 lime st,Hesperia,92345,ca,operational,34.40588,-117.294434
34733,2022,joe henderson elementary,solano,97,95,0,0,public,NA,NA,650 hastings dr,Benicia,94510,ca,operational,38.082603,-122.169991
24781,2022,locust elementary,san bernardino,85,83,0,0,public,NA,NA,7420 locust ave,Fontana,92336,ca,operational,34.118404,-117.410484
15065,2013,westside innovative school house,los angeles,89,79,0,0,public,NA,NA,7850 melrose ave,los angeles,90046,ca,NA,34.083401,-118.359734
29702,2022,louis j. villalovoz elementary,san joaquin,57,56,0,0,public,NA,NA,1550 cypress dr,Tracy,95376,ca,operational,37.733009,-121.444633
26810,2022,hope elementary,san diego,113,112,0,0,public,NA,NA,3010 tamarack ave,Carlsbad,92010,ca,operational,33.171268,-117.304718
25999,2022,canyon view elementary,san diego,99,96,0,0,public,NA,NA,9225 adolphia st,San Diego,92129,ca,operational,32.945724,-117.129051
25241,2022,samuel w. simpson elementary,san bernardino,145,144,0,0,public,NA,NA,1050 s lilac ave,Rialto,92376,ca,operational,34.08231,-117.380013
27861,2022,reynolds elementary,san diego,117,116,0,0,public,NA,NA,4575 douglas dr,oceanside,92057,ca,closed_permanently,33.255862,-117.3144
15065,2014,westside innovative school house,los angeles,88,86,0,0,public,NA,NA,7850 melrose ave,los angeles,90046,ca,NA,34.083401,-118.359734
36708,2022,pleasant elementary,tulare,92,90,0,0,public,NA,NA,1855 w pleasant ave,tulare,93274,ca,operational,36.218227,-119.372918
24879,2022,mojave vista elementary,san bernardino,158,156,0,0,public,NA,NA,16100 burwood ave,Victorville,92395,ca,operational,34.480698,-117.311333
25610,2022,windrows elementary,san bernardino,111,110,0,0,public,NA,NA,6855 victoria park ln,Rancho Cucamonga,91739,ca,operational,34.1301,-117.532196
15065,2015,westside innovative school house,los angeles,88,85,0,0,public,NA,NA,7850 melrose ave,los angeles,90046,ca,NA,34.083401,-118.359734
